ID,Town,County,Country
30145,Pitpointie,Angus,Scotland
30146,Pitreuchie,Angus,Scotland
30147,Pitscottie,Fife,Scotland
30148,Pitsea,Essex,England
30149,Pitses,Greater Manchester,England
30150,Pitsford,Northamptonshire,England
30151,Pitsford Hill,Somerset,England
30152,Pitsmoor,South Yorkshire,England
30153,Pitstone,Buckinghamshire,England
30154,Pitstone Green,Buckinghamshire,England
30155,Pitstone Hill,Buckinghamshire,England
30156,Pitt,Hampshire,England
30157,Pitt Court,Gloucestershire,England
30158,Pittentrail,Highland,Scotland
30159,Pittenweem,Fife,Scotland
30160,Pitteuchar,Fife,Scotland
30161,Pittington,County Durham,England
30162,Pitton,Swansea,Wales
30163,Pitton,Wiltshire,England
30164,Pitts Hill,Staffordshire,England
30165,"Pitts, The",Wiltshire,England
30166,Pittswood,Kent,England
30167,Pittulie,Aberdeenshire,Scotland
30168,Pittville,Gloucestershire,England
30169,Pity Me,County Durham,England
30170,Pityme,Cornwall,England
30171,Pixham,Worcestershire,England
30172,Pixham,Surrey,England
30173,Pixley,Shropshire,England
30174,Pixley,Herefordshire,England
30175,Pizien Well,Kent,England
30176,Plaidy,Aberdeenshire,Scotland
30177,Plaidy,Cornwall,England
30178,Plain Dealings,Pembrokeshire,Wales
30179,Plain Spot,Nottinghamshire,England
30180,Plain Street,Cornwall,England
30181,Plain-an-Gwarry,Cornwall,England
30182,Plain-an-Gwarry,Cornwall,England
30183,Plains,North Lanarkshire,Scotland
30184,Plainsfield,Somerset,England
30185,Plaish,Shropshire,England
30186,Plaistow,West Sussex,England
30187,Plaistow,"Bromley, Greater London",England
30188,Plaistow,"Newham, Greater London",England
30189,Plaistow Green,Essex,England
30190,Plaitford,Hampshire,England
30191,Plaitford Green,Hampshire,England
30192,Plank Lane,Greater Manchester,England
30193,Plantation Bridge,Cumbria,England
30194,Plantationfoot,Dumfries and Galloway,Scotland
30195,Plardiwick,Staffordshire,England
30196,Plas Coch,Wrexham,Wales
30197,Plas Dinam,Powys,Wales
30198,Plas Gogerddan,Ceredigion,Wales
30199,Plas Meredydd,Powys,Wales
30200,Plasau,Shropshire,England
30201,Plashet,"Newham, Greater London",England
30202,Plashett,Carmarthenshire,Wales
30203,Plasiolyn,Powys,Wales
30204,Plasnewydd,Powys,Wales
30205,Plaster's Green,Somerset,England
30206,Plastow Green,Hampshire,England
30207,Platt,Kent,England
30208,Platt Bridge,Greater Manchester,England
30209,Platt Lane,Shropshire,England
30210,Platt's Heath,Kent,England
30211,Platts Common,South Yorkshire,England
30212,Plawsworth,County Durham,England
30213,Plaxtol,Kent,England
30214,Play Hatch,Oxfordshire,England
30215,Playden,East Sussex,England
30216,Playford,Suffolk,England
30217,Playing Place,Cornwall,England
30218,Playley Green,Gloucestershire,England
30219,Plâs Berwyn,Denbighshire,Wales
30220,Plealey,Shropshire,England
30221,Pleamore Cross,Somerset,England
30222,Plean,Stirling,Scotland
30223,Pleasant Valley,Pembrokeshire,Wales
30224,Pleasington,Lancashire,England
30225,Pleasley,Derbyshire,England
30226,Pleasleyhill,Nottinghamshire,England
30227,Pleck,West Midlands,England
30228,Pleck,Dorset,England
30229,Pleck,Dorset,England
30230,Pleck or Little Ansty,Dorset,England
30231,Pleckgate,Lancashire,England
30232,Pledgdon Green,Essex,England
30233,Pledwick,West Yorkshire,England
30234,Plemstall,Cheshire,England
30235,Plenmeller,Northumberland,England
30236,Pleshey,Essex,England
30237,Plockton/Am Ploc,Highland,Scotland
30238,Plocrapol,Na h-Eileanan an Iar,Scotland
30239,Plot Gate,Somerset,England
30240,Plot Street,Somerset,England
30241,Plough Hill,Warwickshire,England
30242,Plowden,Shropshire,England
30243,Ploxgreen,Shropshire,England
30244,Pluckley,Kent,England
30245,Pluckley Thorne,Kent,England
30246,Plucks Gutter,Kent,England
30247,Plumb Bridge,Strabane,Northern Ireland
30248,Plumbland,Cumbria,England
30249,Plumbley,South Yorkshire,England
30250,Plumford,Kent,England
30251,Plumley,Cheshire,England
30252,Plump Hill,Gloucestershire,England
30253,Plumpton,Cumbria,England
30254,Plumpton,Northamptonshire,England
30255,Plumpton,East Sussex,England
30256,Plumpton End,Northamptonshire,England
30257,Plumpton Foot,Cumbria,England
30258,Plumpton Green,East Sussex,England
30259,Plumstead,Norfolk,England
30260,Plumstead,"Greenwich, Greater London",England
30261,Plumstead Common,"Greenwich, Greater London",England
30262,Plumstead Green,Norfolk,England
30263,Plumtree,Nottinghamshire,England
30264,Plumtree Green,Kent,England
30265,Plumtree Park,Nottinghamshire,England
30266,Plungar,Leicestershire,England
30267,Plush,Dorset,England
30268,Plusha,Cornwall,England
30269,Plushabridge,Cornwall,England
30270,Plusterwine,Gloucestershire,England
30271,Plwmp,Ceredigion,Wales
30272,Plymouth,Devon,England
30273,Plympton,Devon,England
30274,Plymstock,Devon,England
30275,Plymtree,Devon,England
30276,Pobgreen,Greater Manchester,England
30277,Pochin Houses,Blaenau Gwent,Wales
30278,Pocket Nook,Greater Manchester,England
30279,Pockley,North Yorkshire,England
30280,Pocklington,East Riding of Yorkshire,England
30281,Pockthorpe,Norfolk,England
30282,Pockthorpe,Norfolk,England
30283,Pockthorpe,Norfolk,England
30284,Pockthorpe,Norfolk,England
30285,Pode Hole,Lincolnshire,England
30286,Podimore,Somerset,England
30287,Podington,Bedfordshire,England
30288,Podmoor,Worcestershire,England
30289,Podmore,Staffordshire,England
30290,Podmore,Norfolk,England
30291,Podsmead,Gloucestershire,England
30292,Poffley End,Oxfordshire,England
30293,Pogmoor,South Yorkshire,England
30294,Point Clear,Essex,England
30295,Pointon,Lincolnshire,England
30296,Pokesdown,Dorset,England
30297,Polbain,Highland,Scotland
30298,Polbathic,Cornwall,England
30299,Polbeth,West Lothian,Scotland
30300,Polborder,Cornwall,England
30301,Polbrock,Cornwall,England
30302,Pole Elm,Worcestershire,England
30303,Pole Moor,West Yorkshire,England
30304,"Pole of Itlaw,The",Aberdeenshire,Scotland
30305,Pole's Hole,Wiltshire,England
30306,Polebrook,Northamptonshire,England
30307,Polegate,East Sussex,England
30308,Poles,Highland,Scotland
30309,Polesden Lacey,Surrey,England
30310,Poleshill,Somerset,England
30311,Polesworth,Warwickshire,England
30312,Polgear,Cornwall,England
30313,Polgigga,Cornwall,England
30314,Polglass,Highland,Scotland
30315,Polgooth,Cornwall,England
30316,Poling,West Sussex,England
30317,Poling Corner,West Sussex,England
30318,Polkerris,Cornwall,England
30319,Poll Hill,Merseyside,England
30320,Polladras,Cornwall,England
30321,Pollard Street,Norfolk,England
30322,Pollhill,Kent,England
30323,Pollington,East Riding of Yorkshire,England
30324,Polloch,Highland,Scotland
30325,Pollok,Glasgow City,Scotland
30326,Pollokshaws,Glasgow City,Scotland
30327,Pollokshields,Glasgow City,Scotland
30328,Pollosgan,Highland,Scotland
30329,Polmadie,Glasgow City,Scotland
30330,Polmaily,Highland,Scotland
30331,Polmarth,Cornwall,England
30332,Polmassick,Cornwall,England
30333,Polmear,Cornwall,England
30334,Polmont,Falkirk,Scotland
30335,Polmorla,Cornwall,England
30336,Polnessan,East Ayrshire,Scotland
30337,Polnish,Highland,Scotland
30338,Polopit,Northamptonshire,England
30339,Polpenwith,Cornwall,England
30340,Polpeor,Cornwall,England
30341,Polperro,Cornwall,England
30342,Polruan,Cornwall,England
30343,Polsham,Somerset,England
30344,Polsloe,Devon,England
30345,Polstead,Suffolk,England
30346,Polstead Heath,Suffolk,England
30347,Poltalloch,Argyll and Bute,Scotland
30348,Poltesco,Cornwall,England
30349,Poltimore,Devon,England
30350,Polton,Midlothian,Scotland
30351,Polwarth,Scottish Borders,Scotland
30352,Polwheveral,Cornwall,England
30353,Polyphant,Cornwall,England
30354,Polzeath,Cornwall,England
30355,Pomeroy,Cookstown,Northern Ireland
30356,Pomeroy,Derbyshire,England
30357,Pomphlett,Devon,England
30358,Ponciau,Wrexham,Wales
30359,Pond Close,Somerset,England
30360,Pond Park,Buckinghamshire,England
30361,Pond Street,Essex,England
30362,Ponde,Powys,Wales
30363,Ponders End,"Enfield, Greater London",England
30364,Pondersbridge,Cambridgeshire,England
30365,Pondtail,Hampshire,England
30366,Pondwell,Isle of Wight,England
30367,Poniou,Cornwall,England
30368,Ponjeravah,Cornwall,England
30369,Ponsanooth,Cornwall,England
30370,Ponsford,Devon,England
30371,Ponsonby,Cumbria,England
30372,Ponsongath,Cornwall,England
30373,Ponsworthy,Devon,England
30374,Pont,Cornwall,England
30375,Pont ar Hydfer,Powys,Wales
30376,Pont Cysyllte,Denbighshire,Wales
30377,Pont Hwfa,Isle of Anglesey,Wales
30378,Pont Llogel,Powys,Wales
30379,Pont Rhyd-y-berry,Powys,Wales
30380,Pont Rhyd-y-cyff,Bridgend,Wales
30381,Pont Rhydgaled,Powys,Wales
30382,Pont Siôn Norton,Rhondda Cynon Taf,Wales
30383,Pont-ar-gothi,Carmarthenshire,Wales
30384,Pont-ar-llechau,Carmarthenshire,Wales
30385,Pont-Faen,Shropshire,England
30386,Pont-faen,Powys,Wales
30387,Pont-Henri,Carmarthenshire,Wales
30388,Pont-newydd,Flintshire,Wales
30389,Pont-newydd,Carmarthenshire,Wales
30390,Pont-rhyd-y-groes,Ceredigion,Wales
30391,Pont-Rhythallt,Gwynedd,Wales
30392,Pont-rug,Gwynedd,Wales
30393,Pont-siân,Ceredigion,Wales
30394,Pont-Tyweli,Carmarthenshire,Wales
30395,Pont-Walby,Neath Port Talbot,Wales
30396,Pont-y-blew,Wrexham,Wales
30397,Pont-y-pant,Conwy,Wales
30398,Pont-y-rhyl,Bridgend,Wales
30399,Pont-y-wal,Powys,Wales
30400,Pont-yr-hafod,Pembrokeshire,Wales
30401,Pont-Ystrad,Denbighshire,Wales
30402,Pontamman,Carmarthenshire,Wales
30403,Pontantwn,Carmarthenshire,Wales
30404,Pontardawe,Neath Port Talbot,Wales
30405,Pontarddulais,Swansea,Wales
30406,Pontarsais,Carmarthenshire,Wales
30407,Pontblyddyn,Flintshire,Wales
30408,Pontbren Araeth,Carmarthenshire,Wales
30409,Pontcanna,Cardiff,Wales
30410,Pontdolgoch,Powys,Wales
30411,Pontefract,West Yorkshire,England
30412,Ponteland,Northumberland,England
30413,Ponterwyd,Ceredigion,Wales
30414,Pontesbury,Shropshire,England
30415,Pontesbury Hill,Shropshire,England
30416,Pontesford,Shropshire,England
30417,Pontfadog,Wrexham,Wales
30418,Pontfaen,Pembrokeshire,Wales
30419,Pontgarreg,Ceredigion,Wales
30420,Ponthen,Shropshire,England
30421,Ponthir,Newport,Wales
30422,Ponthirwaun,Ceredigion,Wales
30423,Pontiago,Pembrokeshire,Wales
30424,Pontithel,Powys,Wales
30425,Pontllanfraith,Caerphilly,Wales
30426,Pontlliw,Swansea,Wales
30427,Pontllyfni,Gwynedd,Wales
30428,Pontlottyn,Caerphilly,Wales
30429,Pontneddfechan,Powys,Wales
30430,Pontnewydd,Torfaen,Wales
30431,Pontnewynydd,Torfaen,Wales
30432,Pontrhydfendigaid,Ceredigion,Wales
30433,Pontrhydyfen,Neath Port Talbot,Wales
30434,Pontrhydyrun,Torfaen,Wales
30435,Pontrilas,Herefordshire,England
30436,Pontrobert,Powys,Wales
30437,Ponts Green,East Sussex,England
30438,Pontshill,Herefordshire,England
30439,Pontsticill,Merthyr Tydfil,Wales
30440,Pontyates/Pont-iets,Carmarthenshire,Wales
30441,Pontyberem,Carmarthenshire,Wales
30442,Pontyclun,Rhondda Cynon Taf,Wales
30443,Pontycymer,Bridgend,Wales
30444,Pontyglasier,Pembrokeshire,Wales
30445,Pontygwaith,Rhondda Cynon Taf,Wales
30446,Pontymister,Caerphilly,Wales
30447,Pontymoel,Torfaen,Wales
30448,Pontypool/Pont-y-pwl,Torfaen,Wales
30449,Pontypridd,Rhondda Cynon Taf,Wales
30450,Pontywaun,Caerphilly,Wales
30451,Pooksgreen,Hampshire,England
30452,Pool,West Yorkshire,England
30453,Pool,Isles of Scilly,England
30454,Pool,Cornwall,England
30455,Pool Crofts,Highland,Scotland
30456,Pool Head,Herefordshire,England
30457,Pool Hey,Lancashire,England
30458,Pool of Muckhart,Clackmannanshire,Scotland
30459,Pool Quay,Powys,Wales
30460,Poolbrook,Worcestershire,England
30461,Poole,North Yorkshire,England
30462,Poole,Somerset,England
30463,Poole,Dorset,England
30464,Poole Keynes,Gloucestershire,England
30465,Poolend,Staffordshire,England
30466,Poolestown,Dorset,England
30467,Poolewe,Highland,Scotland
30468,Pooley Bridge,Cumbria,England
30469,Pooley Street,Norfolk,England
30470,Poolfold,Staffordshire,England
30471,Poolhead,Shropshire,England
30472,Poolhill,Gloucestershire,England
30473,Poolmill,Herefordshire,England
30474,Poolsbrook,Derbyshire,England
30475,Poolstock,Greater Manchester,England
30476,Pooltown,Somerset,England
30477,Pootings,Kent,England
30478,Pope Hill,Pembrokeshire,Wales
30479,Pope's Hill,Gloucestershire,England
30480,Popeswood,Berkshire,England
30481,Popham,Devon,England
30482,Popham,Hampshire,England
30483,Poplar,"Tower Hamlets, Greater London",England
30484,Poplar Grove,Lincolnshire,England
30485,Poplars,Hertfordshire,England
30486,Popley,Hampshire,England
30487,Porchester,Nottinghamshire,England
30488,Porchfield,Isle of Wight,England
30489,Poringland,Norfolk,England
30490,Porkellis,Cornwall,England
30491,Porlock,Somerset,England
30492,Porlock Weir,Somerset,England
30493,Porlockford,Somerset,England
30494,Port Ann,Argyll and Bute,Scotland
30495,Port Appin,Argyll and Bute,Scotland
30496,Port Arthur,Shetland Islands,Scotland
30497,Port Askaig/Port Asgaig,Argyll and Bute,Scotland
30498,Port Bannatyne,Argyll and Bute,Scotland
30499,Port Brae,Fife,Scotland
30500,Port Bridge,Devon,England
30501,Port Carlisle,Cumbria,England
30502,Port Charlotte/Port Sgioba,Argyll and Bute,Scotland
30503,Port Clarence,County Durham,England
30504,Port Dundas,Glasgow City,Scotland
30505,Port Edgar,City of Edinburgh,Scotland
30506,Port Ellen/Port Eilein,Argyll and Bute,Scotland
30507,Port Elphinstone,Aberdeenshire,Scotland
30508,Port Erroll,Aberdeenshire,Scotland
30509,Port Gaverne,Cornwall,England
30510,Port Glasgow,Inverclyde,Scotland
30511,Port Henderson,Highland,Scotland
30512,Port Hill,Oxfordshire,England
30513,Port Isaac,Cornwall,England
30514,Port Lion,Pembrokeshire,Wales
30515,Port Logan,Dumfries and Galloway,Scotland
30516,Port Mead,Swansea,Wales
30517,Port Mholair,Na h-Eileanan an Iar,Scotland
30518,Port Mòr,Highland,Scotland
30519,Port Mulgrave,North Yorkshire,England
30520,Port nan Giuran,Na h-Eileanan an Iar,Scotland
30521,Port nan Long,Na h-Eileanan an Iar,Scotland
30522,Port Nis/Cealagbhal,Na h-Eileanan an Iar,Scotland
30523,Port of Menteith,Stirling,Scotland
30524,Port Quin,Cornwall,England
30525,Port Ramsay,Argyll and Bute,Scotland
30526,Port Sgiogarstaigh,Na h-Eileanan an Iar,Scotland
30527,Port Solent,Hampshire,England
30528,Port Sunlight,Merseyside,England
30529,Port Sutton Bridge,Lincolnshire,England
30530,Port Talbot,Neath Port Talbot,Wales
30531,Port Tennant,Swansea,Wales
30532,Port Wemyss/Bun Othan,Argyll and Bute,Scotland
30533,Port William,Dumfries and Galloway,Scotland
30534,Port-Eynon,Swansea,Wales
30535,Portadown,Craigavon,Northern Ireland
30536,Portaferry,Ards,Northern Ireland
30537,Portash,Wiltshire,England
30538,Portavadie,Argyll and Bute,Scotland
30539,Portavogie,Ards,Northern Ireland
30540,Portballintrae,Coleraine,Northern Ireland
30541,Portbury,Somerset,England
30542,Portchester,Hampshire,England
30543,Porteath,Cornwall,England
30544,Portencross,North Ayrshire,Scotland
30545,Porter's End,Hertfordshire,England
30546,Porterfield,Renfrewshire,Scotland
30547,Portesham,Dorset,England
30548,Portessie,Moray,Scotland
30549,Portfield,Somerset,England
30550,Portfield,West Sussex,England
30551,Portfield Gate,Pembrokeshire,Wales
30552,Portglenone,Ballymena,Northern Ireland
30553,Portgordon,Moray,Scotland
30554,Portgower,Highland,Scotland
30555,Porth,Rhondda Cynon Taf,Wales
30556,Porth,Cornwall,England
30557,Porth Colmon,Gwynedd,Wales
30558,Porth Kea,Cornwall,England
30559,Porth Navas,Cornwall,England
30560,Porth-y-felin,Isle of Anglesey,Wales
30561,Porth-y-waen,Shropshire,England
30562,Porthallow,Cornwall,England
30563,Porthcawl,Bridgend,Wales
30564,Porthcothan,Cornwall,England
30565,Porthcurno,Cornwall,England
30566,Portheiddy,Pembrokeshire,Wales
30567,Porthgain,Pembrokeshire,Wales
30568,Porthgwarra,Cornwall,England
30569,Porthhallow,Cornwall,England
30570,Porthill,Shropshire,England
30571,Porthill,Staffordshire,England
30572,Porthilly,Cornwall,England
30573,Porthkerry,The Vale of Glamorgan,Wales
30574,Porthleven,Cornwall,England
30575,Porthloo,Isles of Scilly,England
30576,Porthmadog,Gwynedd,Wales
30577,Porthmeor,Cornwall,England
30578,Portholland,Cornwall,England
30579,Porthoustock,Cornwall,England
30580,Porthtowan,Cornwall,England
30581,Porthyrhyd,Carmarthenshire,Wales
30582,Porthyrhyd,Carmarthenshire,Wales
30583,Portico,Merseyside,England
30584,Portincaple,Argyll and Bute,Scotland
30585,Portington,Devon,England
30586,Portinnisherrich,Argyll and Bute,Scotland
30587,Portinode,Fermanagh,Northern Ireland
30588,Portinscale,Cumbria,England
30589,Portishead,Somerset,England
30590,Portkil,Argyll and Bute,Scotland
30591,Portknockie,Moray,Scotland
30592,Portland,Somerset,England
30593,Portlethen,Aberdeenshire,Scotland
30594,Portlethen Village,Aberdeenshire,Scotland
30595,Portloe,Cornwall,England
30596,Portlooe,Cornwall,England
30597,Portmahomack,Highland,Scotland
30598,Portmeirion,Gwynedd,Wales
30599,Portmellon,Cornwall,England
30600,Portmore,Hampshire,England
30601,Portnacroish,Argyll and Bute,Scotland
30602,Portnahaven/Port nah-Abhainne,Argyll and Bute,Scotland
30603,Portnalong,Highland,Scotland
30604,Portnaluchaig,Highland,Scotland
30605,Portneora,Highland,Scotland
30606,Portobello,City of Edinburgh,Scotland
30607,Portobello,Tyne and Wear,England
30608,Portobello,West Yorkshire,England
30609,Portobello,West Midlands,England
30610,Porton,Wiltshire,England
30611,Portormin,Highland,Scotland
30612,Portpatrick,Dumfries and Galloway,Scotland
30613,Portrack,County Durham,England
30614,Portreath,Cornwall,England
30615,Portree / Port Righ,Highland,Scotland
30616,Portrush,Coleraine,Northern Ireland
30617,Portscatho,Cornwall,England
30618,Portsea,Hampshire,England
30619,Portsea Island,Hampshire,England
30620,Portskerra,Highland,Scotland
30621,Portskewett,Monmouthshire,Wales
30622,Portslade Village,East Sussex,England
30623,Portslade-By-Sea,West Sussex,England
30624,Portslogan,Dumfries and Galloway,Scotland
30625,Portsmouth,West Yorkshire,England
30626,Portsmouth,Hampshire,England
30627,Portsonachan,Argyll and Bute,Scotland
30628,Portsoy,Aberdeenshire,Scotland
30629,Portstewart,Coleraine,Northern Ireland
30630,Portswood,Hampshire,England
30631,Porttannachy,Moray,Scotland
30632,Portuairk,Highland,Scotland
30633,Portvasgo,Highland,Scotland
30634,Portway,Herefordshire,England
30635,Portway,Herefordshire,England
30636,Portway,Worcestershire,England
30637,Portway,West Midlands,England
30638,Portway,Worcestershire,England
30639,Portway,Somerset,England
30640,Portway,Somerset,England
30641,Portway,Dorset,England
30642,Portwood,Greater Manchester,England
30643,Portwrinkle,Cornwall,England
30644,Posenhall,Shropshire,England
30645,Poslingford,Suffolk,England
30646,Possil Park,Glasgow City,Scotland
30647,Posso,Scottish Borders,Scotland
30648,Post Green,Dorset,England
30649,Postbridge,Devon,England
30650,Postcombe,Oxfordshire,England
30651,Postling,Kent,England
30652,Postlip,Gloucestershire,England
30653,Postwick,Norfolk,England
30654,Pot Common,Surrey,England
30655,Potash,Suffolk,England
30656,Potbridge,Hampshire,England
30657,Potman's Heath,Kent,England
30658,Potsgrove,Bedfordshire,England
30659,Pott Row,Norfolk,England
30660,Pott Shrigley,Cheshire,England
30661,Potten End,Hertfordshire,England
30662,Potten Street,Kent,England
30663,Potter Brompton,North Yorkshire,England
30664,Potter Heigham,Norfolk,England
30665,Potter Hill,South Yorkshire,England
30666,Potter Hill,Leicestershire,England
30667,Potter Somersal,Derbyshire,England
30668,Potter Street,Essex,England
30669,Potter's Forstal,Kent,England
30670,Potter's Green,West Midlands,England
30671,Potter's Green,East Sussex,England
30672,Pottergate Street,Norfolk,England
30673,Potterhanworth,Lincolnshire,England
30674,Potterhanworth Booths,Lincolnshire,England
30675,"Potteries, The",Staffordshire,England
30676,Potterne,Wiltshire,England
30677,Potterne Wick,Wiltshire,England
30678,Potternewton,West Yorkshire,England
30679,Potters Bar,Hertfordshire,England
30680,Potters Brook,Lancashire,England
30681,Potters Corner,Kent,England
30682,Potters Crouch,Hertfordshire,England
30683,Potters Hill,Somerset,England
30684,Potters Marston,Leicestershire,England
30685,Pottersheath,Hertfordshire,England
30686,Potterspury,Northamptonshire,England
30687,Potterton,Aberdeenshire,Scotland
30688,Potterton,West Yorkshire,England
30689,Pottery Field,West Yorkshire,England
30690,Potthorpe,Norfolk,England
30691,Pottington,Devon,England
30692,Potto,North Yorkshire,England
30693,Potton,Bedfordshire,England
30694,Pouchen End,Hertfordshire,England
30695,Poughill,Cornwall,England
30696,Poughill,Devon,England
30697,Poulner,Hampshire,England
30698,Poulshot,Wiltshire,England
30699,Poulton,Merseyside,England
30700,Poulton,Merseyside,England
30701,Poulton,Cheshire,England
30702,Poulton,Gloucestershire,England
30703,Poulton-Le-Fylde,Lancashire,England
30704,Pound,Somerset,England
30705,Pound Bank,Worcestershire,England
30706,Pound Bank,Worcestershire,England
30707,Pound Green,Worcestershire,England
30708,Pound Green,Hampshire,England
30709,Pound Green,Isle of Wight,England
30710,Pound Green,Suffolk,England
30711,Pound Green,East Sussex,England
30712,Pound Hill,West Sussex,England
30713,Pound Street,Hampshire,England
30714,"Pound, The",Gloucestershire,England
30715,Poundbury,Dorset,England
30716,Poundffald,Swansea,Wales
30717,Poundfield,East Sussex,England
30718,Poundford,East Sussex,England
30719,Poundgate,East Sussex,England
30720,Poundgreen,Berkshire,England
30721,Poundland,South Ayrshire,Scotland
30722,Poundon,Buckinghamshire,England
30723,Poundsbridge,Kent,England
30724,Poundsgate,Devon,England
30725,Poundstock,Cornwall,England
30726,Pounsley,East Sussex,England
30727,Poverest,"Bromley, Greater London",England
30728,Povey Cross,Surrey,England
30729,Pow Green,Herefordshire,England
30730,Powburn,Northumberland,England
30731,Powder Mills,Kent,England
30732,Powderham,Devon,England
30733,Powers Hall End,Essex,England
30734,Powerstock,Dorset,England
30735,Powfoot,Dumfries and Galloway,Scotland
30736,Powhill,Cumbria,England
30737,Powick,Worcestershire,England
30738,Powler's Piece,Devon,England
30739,Powmill,Perth and Kinross,Scotland
30740,Pownall Park,Cheshire,England
30741,Powntley Copse,Hampshire,England
30742,Poyle,Buckinghamshire,England
30743,Poynings,West Sussex,England
30744,Poyntington,Somerset,England
30745,Poynton,Shropshire,England
30746,Poynton,Cheshire,England
30747,Poynton Green,Shropshire,England
30748,Poyntz Pass,Armagh,Northern Ireland
30749,Poyston,Pembrokeshire,Wales
30750,Poyston Cross,Pembrokeshire,Wales
30751,Poystreet Green,Suffolk,England
30752,Praa Sands,Cornwall,England
30753,Prabost,Highland,Scotland
30754,Pratling Street,Kent,England
30755,Pratt's Bottom,"Bromley, Greater London",England
30756,Praze-an-Beeble,Cornwall,England
30757,Prees,Shropshire,England
30758,Prees Green,Shropshire,England
30759,Prees Heath,Shropshire,England
30760,Prees Higher Heath,Shropshire,England
30761,Prees Lower Heath,Shropshire,England
30762,Prees Wood,Shropshire,England
30763,Preesall,Lancashire,England
30764,Preesall Park,Lancashire,England
30765,Preesgweene,Shropshire,England
30766,Preeshenlle,Shropshire,England
30767,Pren-gwyn,Ceredigion,Wales
30768,Prenbrigog,Flintshire,Wales
30769,Prendergast,Pembrokeshire,Wales
30770,Prendergast,Pembrokeshire,Wales
30771,Prenderguest,Scottish Borders,Scotland
30772,Prenteg,Gwynedd,Wales
30773,Prenton,Merseyside,England
30774,Prescot,Merseyside,England
30775,Prescott,Shropshire,England
30776,Prescott,Shropshire,England
30777,Prescott,Gloucestershire,England
30778,Prescott,Devon,England
30779,Presdales,Hertfordshire,England
30780,Preshome,Moray,Scotland
30781,Presnerb,Angus,Scotland
30782,Press,Derbyshire,England
30783,Pressen,Northumberland,England
30784,Prestatyn,Denbighshire,Wales
30785,Prestbury,Cheshire,England
30786,Prestbury,Gloucestershire,England
30787,Presteigne/Llanandras,Powys,Wales
30788,Presthope,Shropshire,England
30789,Prestleigh,Somerset,England
30790,Prestolee,Greater Manchester,England
30791,Preston,East Lothian,Scotland
30792,Preston,East Lothian,Scotland
30793,Preston,Scottish Borders,Scotland
30794,Preston,Tyne and Wear,England
30795,Preston,Lancashire,England
30796,Preston,Shropshire,England
30797,Preston,Rutland,England
30798,Preston,Gloucestershire,England
30799,Preston,Gloucestershire,England
30800,Preston,Wiltshire,England
30801,Preston,Wiltshire,England
30802,Preston,Devon,England
30803,Preston,Devon,England
30804,Preston,Dorset,England
30805,Preston,East Riding of Yorkshire,England
30806,Preston,Hertfordshire,England
30807,Preston,"Brent, Greater London",England
30808,Preston,East Sussex,England
30809,Preston,Kent,England
30810,Preston,Kent,England
30811,Preston Bagot,Warwickshire,England
30812,Preston Bissett,Buckinghamshire,England
30813,Preston Bowyer,Somerset,England
30814,Preston Brockhurst,Shropshire,England
30815,Preston Brook,Cheshire,England
30816,Preston Candover,Hampshire,England
30817,Preston Capes,Northamptonshire,England
30818,Preston Crowmarsh,Oxfordshire,England
30819,Preston Deanery,Northamptonshire,England
30820,Preston Fields,Warwickshire,England
30821,Preston Grange,Tyne and Wear,England
30822,Preston Green,Warwickshire,England
30823,Preston Gubbals,Shropshire,England
30824,Preston Marsh,Herefordshire,England
30825,Preston Montford,Shropshire,England
30826,Preston on Stour,Warwickshire,England
30827,Preston on the Hill,Cheshire,England
30828,Preston on Wye,Herefordshire,England
30829,Preston Plucknett,Somerset,England
30830,Preston St Mary,Suffolk,England
30831,Preston upon the Weald Moors,Shropshire,England
30832,Preston Wynne,Herefordshire,England
30833,Preston-le-Skerne,County Durham,England
30834,Preston-on-Tees,County Durham,England
30835,Preston-under-Scar,North Yorkshire,England
30836,Prestonfield,City of Edinburgh,Scotland
30837,Prestonmill,Dumfries and Galloway,Scotland
30838,Prestonpans,East Lothian,Scotland
30839,Prestwich,Greater Manchester,England
30840,Prestwick,South Ayrshire,Scotland
30841,Prestwick,Northumberland,England
30842,Prestwold,Leicestershire,England
30843,Prestwood,Staffordshire,England
30844,Prestwood,Staffordshire,England
30845,Prestwood,Buckinghamshire,England
30846,Prey Heath,Surrey,England
30847,Price Town,Bridgend,Wales
30848,Prickwillow,Cambridgeshire,England
30849,Priddy,Somerset,England
30850,Pride Park,Derbyshire,England
30851,Priest Down,Somerset,England
30852,Priest Hutton,Lancashire,England
30853,Priest Weston,Shropshire,England
30854,Priestacott,Devon,England
30855,Priestcliffe,Derbyshire,England
30856,Priestcliffe Ditch,Derbyshire,England
30857,Priestfield,Worcestershire,England
30858,Priestfield,West Midlands,England
30859,Priesthill,Glasgow City,Scotland
30860,Priesthorpe,West Yorkshire,England
30861,Priestley Green,West Yorkshire,England
30862,Prieston,Scottish Borders,Scotland
30863,Priestside,Dumfries and Galloway,Scotland
30864,Priestthorpe,West Yorkshire,England
30865,Priestwood,Berkshire,England
30866,Priestwood,Kent,England
30867,Priestwood Green,Kent,England
30868,Primethorpe,Leicestershire,England
30869,Primrose,Tyne and Wear,England
30870,Primrose Corner,Norfolk,England
30871,Primrose Green,Norfolk,England
30872,Primrose Hill,Lancashire,England
